,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro,accuracy
30,silvics_edited_data_sents.csv,lbfgs,l2,19,2000,0.5,0.544640682433163,0.7020430975594609
31,silvics_edited_data_sents.csv,lbfgs,l2,19,2000,0.25,0.5771505612026626,0.7128663686040735
32,silvics_edited_data_sents.csv,lbfgs,l2,19,2000,0.1,0.5767283043848229,0.7112697919900652
33,silvics_edited_data_sents.csv,lbfgs,l2,19,5000,0.5,0.5484355977616219,0.708687822144942
34,silvics_edited_data_sents.csv,lbfgs,l2,19,5000,0.25,0.5776673465703699,0.7195727769498261
35,silvics_edited_data_sents.csv,lbfgs,l2,19,5000,0.1,0.5793709466820381,0.7177895063644831
36,wikipedia_edited_data_sents.csv,liblinear,l2,10,1000,0.5,0.4132833488753203,0.536877177040739
37,wikipedia_edited_data_sents.csv,liblinear,l2,10,1000,0.25,0.4338552355347896,0.5414900060569352
38,wikipedia_edited_data_sents.csv,liblinear,l2,10,1000,0.1,0.42673497701961444,0.5442846328538986
39,wikipedia_edited_data_sents.csv,liblinear,l2,10,2000,0.5,0.43078579567214986,0.5527790398303801
40,wikipedia_edited_data_sents.csv,liblinear,l2,10,2000,0.25,0.4534268914044281,0.5563294972743792
41,wikipedia_edited_data_sents.csv,liblinear,l2,10,2000,0.1,0.4517126684337055,0.5647236941710825
42,wikipedia_edited_data_sents.csv,liblinear,l2,10,5000,0.5,0.4355363074888765,0.5601999091322126
43,wikipedia_edited_data_sents.csv,liblinear,l2,10,5000,0.25,0.459939043128575,0.5669291338582677
44,wikipedia_edited_data_sents.csv,liblinear,l2,10,5000,0.1,0.4640789919524835,0.5745647236941711
45,wikipedia_edited_data_sents.csv,lbfgs,l2,10,1000,0.5,0.4171806990918732,0.5364228381038921
46,wikipedia_edited_data_sents.csv,lbfgs,l2,10,1000,0.25,0.4455700658895399,0.5439127801332526
47,wikipedia_edited_data_sents.csv,lbfgs,l2,10,1000,0.1,0.42195672856140104,0.5367146101438305
48,wikipedia_edited_data_sents.csv,lbfgs,l2,10,2000,0.5,0.43979320756962836,0.5556565197637438
49,wikipedia_edited_data_sents.csv,lbfgs,l2,10,2000,0.25,0.466091401336338,0.562083585705633
50,wikipedia_edited_data_sents.csv,lbfgs,l2,10,2000,0.1,0.46541419454725313,0.5700227100681302
51,wikipedia_edited_data_sents.csv,lbfgs,l2,10,5000,0.5,0.4453560901356485,0.56398606693927
52,wikipedia_edited_data_sents.csv,lbfgs,l2,10,5000,0.25,0.47430293846358784,0.5723803755299818
53,wikipedia_edited_data_sents.csv,lbfgs,l2,10,5000,0.1,0.4748477231104712,0.5775927327781983
54,wikipedia_edited_data_sents.csv,liblinear,l2,19,1000,0.5,0.2691262850770594,0.4927555856465809
55,wikipedia_edited_data_sents.csv,liblinear,l2,19,1000,0.25,0.34417655756064325,0.5052802599512591
56,wikipedia_edited_data_sents.csv,liblinear,l2,19,1000,0.1,0.3489198748836061,0.5091401489505755
57,wikipedia_edited_data_sents.csv,liblinear,l2,19,2000,0.5,0.2627294878040991,0.5037237643872715
58,wikipedia_edited_data_sents.csv,liblinear,l2,19,2000,0.25,0.34329265769255324,0.5231519090170593
59,wikipedia_edited_data_sents.csv,liblinear,l2,19,2000,0.1,0.32105632589754324,0.5152335815842924
60,wikipedia_edited_data_sents.csv,liblinear,l2,19,5000,0.5,0.25320116238380613,0.5048070412999323
61,wikipedia_edited_data_sents.csv,liblinear,l2,19,5000,0.25,0.3317867075852089,0.5347955591659898
62,wikipedia_edited_data_sents.csv,liblinear,l2,19,5000,0.1,0.3366716842630863,0.5341909275558565
63,wikipedia_edited_data_sents.csv,lbfgs,l2,19,1000,0.5,0.27540058437976506,0.49316181448882873
64,wikipedia_edited_data_sents.csv,lbfgs,l2,19,1000,0.25,0.3564351232895721,0.5085296506904955
65,wikipedia_edited_data_sents.csv,lbfgs,l2,19,1000,0.1,0.35654941744384994,0.5118483412322274
66,wikipedia_edited_data_sents.csv,lbfgs,l2,19,2000,0.5,0.2717454583291587,0.5068381855111713
67,wikipedia_edited_data_sents.csv,lbfgs,l2,19,2000,0.25,0.3588275464768493,0.5264012997562957
68,wikipedia_edited_data_sents.csv,lbfgs,l2,19,2000,0.1,0.3403892466834697,0.5206499661475965
69,wikipedia_edited_data_sents.csv,lbfgs,l2,19,5000,0.5,0.26744387030805766,0.5127962085308057
70,wikipedia_edited_data_sents.csv,lbfgs,l2,19,5000,0.25,0.3592343491470424,0.5404819929596534
71,wikipedia_edited_data_sents.csv,lbfgs,l2,19,5000,0.1,0.3369771944614597,0.5375761679079215
72,merged_edited_data_sents.csv,liblinear,l2,10,1000,0.5,0.5420272081596631,0.6469174930988651
73,merged_edited_data_sents.csv,liblinear,l2,10,1000,0.25,0.5530336515964724,0.6559656476842859
74,merged_edited_data_sents.csv,liblinear,l2,10,1000,0.1,0.5564992922126285,0.6560184002044467
75,merged_edited_data_sents.csv,liblinear,l2,10,2000,0.5,0.5646056394673497,0.6700746344954503
76,merged_edited_data_sents.csv,liblinear,l2,10,2000,0.25,0.5802782677037438,0.6801962989469379
77,merged_edited_data_sents.csv,liblinear,l2,10,2000,0.1,0.588552298671171,0.6802964477383082
78,merged_edited_data_sents.csv,liblinear,l2,10,5000,0.5,0.5784179559868822,0.6839791432368878
79,merged_edited_data_sents.csv,liblinear,l2,10,5000,0.25,0.5981987648553588,0.6995194765361415
80,merged_edited_data_sents.csv,liblinear,l2,10,5000,0.1,0.6056726382320585,0.6986966521850243
81,merged_edited_data_sents.csv,lbfgs,l2,10,1000,0.5,0.5454303708886326,0.6459462222676617
82,merged_edited_data_sents.csv,lbfgs,l2,10,1000,0.25,0.5614617681017403,0.6576014722421021
83,merged_edited_data_sents.csv,lbfgs,l2,10,1000,0.1,0.5656470251679357,0.6595962177357526
84,merged_edited_data_sents.csv,lbfgs,l2,10,2000,0.5,0.5742406994110701,0.6726817298844698
85,merged_edited_data_sents.csv,lbfgs,l2,10,2000,0.25,0.5886786424020374,0.6816276454350271
86,merged_edited_data_sents.csv,lbfgs,l2,10,2000,0.1,0.5965671322616282,0.6833631484794276
87,merged_edited_data_sents.csv,lbfgs,l2,10,5000,0.5,0.5864029431070963,0.6868929557304979
88,merged_edited_data_sents.csv,lbfgs,l2,10,5000,0.25,0.604993868631458,0.7007463449545036
89,merged_edited_data_sents.csv,lbfgs,l2,10,5000,0.1,0.6199882626838681,0.7066189624329159
90,merged_edited_data_sents.csv,liblinear,l2,19,1000,0.5,0.37991101807311445,0.5705892370572208
91,merged_edited_data_sents.csv,liblinear,l2,19,1000,0.25,0.3917965322334589,0.5790190735694822
92,merged_edited_data_sents.csv,liblinear,l2,19,1000,0.1,0.40620357561464226,0.5836526181353767
93,merged_edited_data_sents.csv,liblinear,l2,19,2000,0.5,0.4089835663018541,0.594558923705722
