,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro
0,silvics_edited_data.csv,liblinear,l2,10,1000,0.5,0.8315370590241912
1,silvics_edited_data.csv,liblinear,l2,10,1000,0.25,0.8777534248667902
2,silvics_edited_data.csv,liblinear,l2,10,1000,0.1,0.9675438596491228
3,silvics_edited_data.csv,liblinear,l2,10,2000,0.5,0.8378769499919583
4,silvics_edited_data.csv,liblinear,l2,10,2000,0.25,0.8675599570074185
5,silvics_edited_data.csv,liblinear,l2,10,2000,0.1,0.9675438596491228
6,silvics_edited_data.csv,liblinear,l2,10,5000,0.5,0.8358500641774945
7,silvics_edited_data.csv,liblinear,l2,10,5000,0.25,0.8722634036034481
8,silvics_edited_data.csv,liblinear,l2,10,5000,0.1,0.8633333333333333
9,silvics_edited_data.csv,lbfgs,l2,10,1000,0.5,0.8437600067268676
10,silvics_edited_data.csv,lbfgs,l2,10,1000,0.25,0.8870974370712144
11,silvics_edited_data.csv,lbfgs,l2,10,1000,0.1,0.9675438596491228
12,silvics_edited_data.csv,lbfgs,l2,10,2000,0.5,0.8451299942820969
13,silvics_edited_data.csv,lbfgs,l2,10,2000,0.25,0.878555837728314
14,silvics_edited_data.csv,lbfgs,l2,10,2000,0.1,0.9675438596491228
15,silvics_edited_data.csv,lbfgs,l2,10,5000,0.5,0.841665993734585
16,silvics_edited_data.csv,lbfgs,l2,10,5000,0.25,0.878629297024127
17,silvics_edited_data.csv,lbfgs,l2,10,5000,0.1,0.9675438596491228
18,silvics_edited_data.csv,liblinear,l2,19,1000,0.5,0.6473471813884832
19,silvics_edited_data.csv,liblinear,l2,19,1000,0.25,0.7438988739110207
20,silvics_edited_data.csv,liblinear,l2,19,1000,0.1,0.7168917326658577
21,silvics_edited_data.csv,liblinear,l2,19,2000,0.5,0.6507679565272803
22,silvics_edited_data.csv,liblinear,l2,19,2000,0.25,0.7235652562846789
23,silvics_edited_data.csv,liblinear,l2,19,2000,0.1,0.7135543702033064
24,silvics_edited_data.csv,liblinear,l2,19,5000,0.5,0.6414090467270556
25,silvics_edited_data.csv,liblinear,l2,19,5000,0.25,0.7283786314437988
26,silvics_edited_data.csv,liblinear,l2,19,5000,0.1,0.7194108069108069
27,silvics_edited_data.csv,lbfgs,l2,19,1000,0.5,0.6708013208438249
28,silvics_edited_data.csv,lbfgs,l2,19,1000,0.25,0.7638891560389841
29,silvics_edited_data.csv,lbfgs,l2,19,1000,0.1,0.7306002463743715
30,silvics_edited_data.csv,lbfgs,l2,19,2000,0.5,0.6595696103454766
31,silvics_edited_data.csv,lbfgs,l2,19,2000,0.25,0.7562422089616315
32,silvics_edited_data.csv,lbfgs,l2,19,2000,0.1,0.7207923774413136
33,silvics_edited_data.csv,lbfgs,l2,19,5000,0.5,0.656387068714006
34,silvics_edited_data.csv,lbfgs,l2,19,5000,0.25,0.7353576887564693
35,silvics_edited_data.csv,lbfgs,l2,19,5000,0.1,0.7207923774413136
36,wikipedia_edited_data.csv,liblinear,l2,10,1000,0.5,0.5554914391676493
