,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro,accuracy
0,silvics_edited_data.csv,liblinear,l2,10,1000,0.5,0.8571830757153972,0.9148648648648648
1,silvics_edited_data.csv,liblinear,l2,10,1000,0.25,0.8768449809817465,0.9324324324324325
2,silvics_edited_data.csv,liblinear,l2,10,1000,0.1,0.8991780495982178,0.9594594594594594
3,silvics_edited_data.csv,liblinear,l2,10,2000,0.5,0.8643649276313857,0.918918918918919
4,silvics_edited_data.csv,liblinear,l2,10,2000,0.25,0.8895445567682788,0.9378378378378378
5,silvics_edited_data.csv,liblinear,l2,10,2000,0.1,0.8991780495982178,0.9594594594594594
6,silvics_edited_data.csv,liblinear,l2,10,5000,0.5,0.8756402363880069,0.9243243243243243
7,silvics_edited_data.csv,liblinear,l2,10,5000,0.25,0.8876790253898139,0.9378378378378378
8,silvics_edited_data.csv,liblinear,l2,10,5000,0.1,0.8991780495982178,0.9594594594594594
9,silvics_edited_data.csv,lbfgs,l2,10,1000,0.5,0.8590345668387205,0.9135135135135135
10,silvics_edited_data.csv,lbfgs,l2,10,1000,0.25,0.8705032251815427,0.9243243243243243
11,silvics_edited_data.csv,lbfgs,l2,10,1000,0.1,0.8993160071045961,0.9594594594594594
12,silvics_edited_data.csv,lbfgs,l2,10,2000,0.5,0.8645141724154481,0.9202702702702703
13,silvics_edited_data.csv,lbfgs,l2,10,2000,0.25,0.8876367212485567,0.9351351351351351
14,silvics_edited_data.csv,lbfgs,l2,10,2000,0.1,0.9043796992481203,0.9594594594594594
15,silvics_edited_data.csv,lbfgs,l2,10,5000,0.5,0.8662909735784483,0.922972972972973
16,silvics_edited_data.csv,lbfgs,l2,10,5000,0.25,0.880914720728315,0.9324324324324325
17,silvics_edited_data.csv,lbfgs,l2,10,5000,0.1,0.8944917440660476,0.9527027027027027
18,silvics_edited_data.csv,liblinear,l2,19,1000,0.5,0.7626537458144474,0.8970013037809648
19,silvics_edited_data.csv,liblinear,l2,19,1000,0.25,0.7796500522140143,0.9010416666666666
20,silvics_edited_data.csv,liblinear,l2,19,1000,0.1,0.721202571937866,0.8896103896103896
21,silvics_edited_data.csv,liblinear,l2,19,2000,0.5,0.7755684791035341,0.9035202086049544
