,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro,accuracy
0,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.5,0.5847382719560198,0.6969969776863224
1,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.25,0.5958819140361118,0.7046039094650206
2,silvics_edited_data_sents.csv,liblinear,l2,10,1000,0.1,0.6026546896135618,0.7119897139183542
3,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.5,0.6083195264435215,0.7131374188155103
4,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.25,0.6237084043815171,0.7213220164609053
5,silvics_edited_data_sents.csv,liblinear,l2,10,2000,0.1,0.638784845608888,0.7348119575699132
6,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.5,0.6250083723722141,0.7232332325895441
7,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.25,0.6407794493887413,0.7348251028806584
8,silvics_edited_data_sents.csv,liblinear,l2,10,5000,0.1,0.6591091706755201,0.7444551591128254
9,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.5,0.590889067982902,0.6924313548967912
10,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.25,0.6007845462019228,0.7024176954732511
11,silvics_edited_data_sents.csv,lbfgs,l2,10,1000,0.1,0.6168479960910693,0.7113468338154935
12,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.5,0.6144963503908141,0.7074143141920134
13,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.25,0.6302488021176803,0.715406378600823
14,silvics_edited_data_sents.csv,lbfgs,l2,10,2000,0.1,0.6312002019565117,0.7222757955641272
15,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.5,0.6292219903385198,0.7179602597903672
16,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.25,0.6488270914596895,0.7295524691358025
17,silvics_edited_data_sents.csv,lbfgs,l2,10,5000,0.1,0.6537723613106013,0.735454837672774
18,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.5,0.526082902219167,0.6775135067999751
19,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.25,0.5408919082689646,0.6850471932439146
20,silvics_edited_data_sents.csv,liblinear,l2,19,1000,0.1,0.5422425049851661,0.6796026078857498
21,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.5,0.5613280015805023,0.6957088741228342
22,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.25,0.5773690509768746,0.7055389965226031
23,silvics_edited_data_sents.csv,liblinear,l2,19,2000,0.1,0.5661006091264986,0.7007140639552933
24,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.5,0.5738980783687427,0.7055828106563994
25,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.25,0.6005016449770789,0.7196969696969697
26,silvics_edited_data_sents.csv,liblinear,l2,19,5000,0.1,0.5973866130708642,0.718720894132257
27,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.5,0.5310364865530954,0.672607588648078
28,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.25,0.5505907648387945,0.6815697963238947
29,silvics_edited_data_sents.csv,lbfgs,l2,19,1000,0.1,0.5624831539753928,0.6827072337783298
30,silvics_edited_data_sents.csv,lbfgs,l2,19,2000,0.5,0.5601340384524479,0.6888157486182699
