,file,solver,penalty,num_categories,max_features,test_set,test_f1_macro
33,silvics_edited_data.csv,lbfgs,l2,19,5000,0.5,0.7842057357048273
34,silvics_edited_data.csv,lbfgs,l2,19,5000,0.25,0.8205537516713212
35,silvics_edited_data.csv,lbfgs,l2,19,5000,0.1,0.785023503536312
36,wikipedia_edited_data.csv,liblinear,l2,10,1000,0.5,0.64752915765212
37,wikipedia_edited_data.csv,liblinear,l2,10,1000,0.25,0.6755650601982014
38,wikipedia_edited_data.csv,liblinear,l2,10,1000,0.1,0.6997701580327862
39,wikipedia_edited_data.csv,liblinear,l2,10,2000,0.5,0.6576139841055332
40,wikipedia_edited_data.csv,liblinear,l2,10,2000,0.25,0.6890419421615832
41,wikipedia_edited_data.csv,liblinear,l2,10,2000,0.1,0.6885729377206457
42,wikipedia_edited_data.csv,liblinear,l2,10,5000,0.5,0.6600294541373586
43,wikipedia_edited_data.csv,liblinear,l2,10,5000,0.25,0.7007447456188581
44,wikipedia_edited_data.csv,liblinear,l2,10,5000,0.1,0.6839034325992338
45,wikipedia_edited_data.csv,lbfgs,l2,10,1000,0.5,0.6418556292287426
46,wikipedia_edited_data.csv,lbfgs,l2,10,1000,0.25,0.6627600263585884
47,wikipedia_edited_data.csv,lbfgs,l2,10,1000,0.1,0.6517968038697147
48,wikipedia_edited_data.csv,lbfgs,l2,10,2000,0.5,0.6667789412723655
49,wikipedia_edited_data.csv,lbfgs,l2,10,2000,0.25,0.6824805731592126
50,wikipedia_edited_data.csv,lbfgs,l2,10,2000,0.1,0.6754263060347391
51,wikipedia_edited_data.csv,lbfgs,l2,10,5000,0.5,0.6565792179739052
52,wikipedia_edited_data.csv,lbfgs,l2,10,5000,0.25,0.7034178443162945
53,wikipedia_edited_data.csv,lbfgs,l2,10,5000,0.1,0.6672512166731388
54,wikipedia_edited_data.csv,liblinear,l2,19,1000,0.5,0.5338062421499262
55,wikipedia_edited_data.csv,liblinear,l2,19,1000,0.25,0.5755661764086395
56,wikipedia_edited_data.csv,liblinear,l2,19,1000,0.1,0.6085258372362627
57,wikipedia_edited_data.csv,liblinear,l2,19,2000,0.5,0.5282405610404441
58,wikipedia_edited_data.csv,liblinear,l2,19,2000,0.25,0.5911086773465632
59,wikipedia_edited_data.csv,liblinear,l2,19,2000,0.1,0.6250592952312785
60,wikipedia_edited_data.csv,liblinear,l2,19,5000,0.5,0.5515613275230009
61,wikipedia_edited_data.csv,liblinear,l2,19,5000,0.25,0.5988483961142613
62,wikipedia_edited_data.csv,liblinear,l2,19,5000,0.1,0.6277001274313103
63,wikipedia_edited_data.csv,lbfgs,l2,19,1000,0.5,0.5570056969023413
64,wikipedia_edited_data.csv,lbfgs,l2,19,1000,0.25,0.5641236952255031
65,wikipedia_edited_data.csv,lbfgs,l2,19,1000,0.1,0.5870723399047972
66,wikipedia_edited_data.csv,lbfgs,l2,19,2000,0.5,0.542713142336169
67,wikipedia_edited_data.csv,lbfgs,l2,19,2000,0.25,0.5591373427112031
68,wikipedia_edited_data.csv,lbfgs,l2,19,2000,0.1,0.5754522622644065
