,file,model,num_categories,max_features,test_set,test_f1_macro
69,wikipedia_edited_data.csv,GaussianNB,10,2000,0.1,0.4057966931203095
70,wikipedia_edited_data.csv,ComplementNB,10,2000,0.1,0.6157248010534493
71,wikipedia_edited_data.csv,MultinomialNB,10,2000,0.1,0.4933117988037897
72,wikipedia_edited_data.csv,GaussianNB,10,5000,0.5,0.37006196159781757
73,wikipedia_edited_data.csv,ComplementNB,10,5000,0.5,0.6253892477181052
74,wikipedia_edited_data.csv,MultinomialNB,10,5000,0.5,0.2904385731653093
75,wikipedia_edited_data.csv,GaussianNB,10,5000,0.25,0.3994489090538882
76,wikipedia_edited_data.csv,ComplementNB,10,5000,0.25,0.6641298236583302
77,wikipedia_edited_data.csv,MultinomialNB,10,5000,0.25,0.3025761680796528
78,wikipedia_edited_data.csv,GaussianNB,10,5000,0.1,0.40567088955503267
79,wikipedia_edited_data.csv,ComplementNB,10,5000,0.1,0.6600326948350272
80,wikipedia_edited_data.csv,MultinomialNB,10,5000,0.1,0.3282588362565784
81,wikipedia_edited_data.csv,GaussianNB,18,1000,0.5,0.27892167532461615
82,wikipedia_edited_data.csv,ComplementNB,18,1000,0.5,0.46219788497282366
83,wikipedia_edited_data.csv,MultinomialNB,18,1000,0.5,0.2156195617471597
84,wikipedia_edited_data.csv,GaussianNB,18,1000,0.25,0.30912420697375614
85,wikipedia_edited_data.csv,ComplementNB,18,1000,0.25,0.4890016064626721
86,wikipedia_edited_data.csv,MultinomialNB,18,1000,0.25,0.33571655877410445
87,wikipedia_edited_data.csv,GaussianNB,18,1000,0.1,0.31243540443904744
88,wikipedia_edited_data.csv,ComplementNB,18,1000,0.1,0.3969071715112049
89,wikipedia_edited_data.csv,MultinomialNB,18,1000,0.1,0.38834000764826937
90,wikipedia_edited_data.csv,GaussianNB,18,2000,0.5,0.3410344851695679
91,wikipedia_edited_data.csv,ComplementNB,18,2000,0.5,0.4934601567489203
92,wikipedia_edited_data.csv,MultinomialNB,18,2000,0.5,0.18389497605193833
93,wikipedia_edited_data.csv,GaussianNB,18,2000,0.25,0.3133100645059707
94,wikipedia_edited_data.csv,ComplementNB,18,2000,0.25,0.5084995221816683
95,wikipedia_edited_data.csv,MultinomialNB,18,2000,0.25,0.28932042846048156
96,wikipedia_edited_data.csv,GaussianNB,18,2000,0.1,0.3835354685964442
97,wikipedia_edited_data.csv,ComplementNB,18,2000,0.1,0.42034013628687145
98,wikipedia_edited_data.csv,MultinomialNB,18,2000,0.1,0.29299629998359583
99,wikipedia_edited_data.csv,GaussianNB,18,5000,0.5,0.3413135508082787
100,wikipedia_edited_data.csv,ComplementNB,18,5000,0.5,0.45723903379161907
101,wikipedia_edited_data.csv,MultinomialNB,18,5000,0.5,0.14359690446485718
102,wikipedia_edited_data.csv,GaussianNB,18,5000,0.25,0.3051975952515712
103,wikipedia_edited_data.csv,ComplementNB,18,5000,0.25,0.4942490616312969
104,wikipedia_edited_data.csv,MultinomialNB,18,5000,0.25,0.1907944927410295
105,wikipedia_edited_data.csv,GaussianNB,18,5000,0.1,0.3154066985645933
106,wikipedia_edited_data.csv,ComplementNB,18,5000,0.1,0.3642483534930513
107,wikipedia_edited_data.csv,MultinomialNB,18,5000,0.1,0.21525716293746816
108,merged_edited_data.csv,GaussianNB,10,1000,0.5,0.5311726647643509
109,merged_edited_data.csv,ComplementNB,10,1000,0.5,0.8320669465075644
110,merged_edited_data.csv,MultinomialNB,10,1000,0.5,0.8466407986165561
111,merged_edited_data.csv,GaussianNB,10,1000,0.25,0.5626028413650588
112,merged_edited_data.csv,ComplementNB,10,1000,0.25,0.8408032245242228
113,merged_edited_data.csv,MultinomialNB,10,1000,0.25,0.8885909035205118
114,merged_edited_data.csv,GaussianNB,10,1000,0.1,0.5658794866803781
115,merged_edited_data.csv,ComplementNB,10,1000,0.1,0.8443435236611823
116,merged_edited_data.csv,MultinomialNB,10,1000,0.1,0.8767934051649648
117,merged_edited_data.csv,GaussianNB,10,2000,0.5,0.509311824037906
118,merged_edited_data.csv,ComplementNB,10,2000,0.5,0.8501758204343494
119,merged_edited_data.csv,MultinomialNB,10,2000,0.5,0.8303370601198278
120,merged_edited_data.csv,GaussianNB,10,2000,0.25,0.5167150941520473
121,merged_edited_data.csv,ComplementNB,10,2000,0.25,0.8611027807958995
122,merged_edited_data.csv,MultinomialNB,10,2000,0.25,0.8616449705415942
123,merged_edited_data.csv,GaussianNB,10,2000,0.1,0.527291204798203
124,merged_edited_data.csv,ComplementNB,10,2000,0.1,0.8501630228616209
125,merged_edited_data.csv,MultinomialNB,10,2000,0.1,0.8685268614341692
126,merged_edited_data.csv,GaussianNB,10,5000,0.5,0.5654446889532033
127,merged_edited_data.csv,ComplementNB,10,5000,0.5,0.8605362956675924
128,merged_edited_data.csv,MultinomialNB,10,5000,0.5,0.8185781353097976
129,merged_edited_data.csv,GaussianNB,10,5000,0.25,0.5631420069697877
130,merged_edited_data.csv,ComplementNB,10,5000,0.25,0.8686463089425895
131,merged_edited_data.csv,MultinomialNB,10,5000,0.25,0.8592448267491584
132,merged_edited_data.csv,GaussianNB,10,5000,0.1,0.5418074864131487
133,merged_edited_data.csv,ComplementNB,10,5000,0.1,0.8836801886842327
134,merged_edited_data.csv,MultinomialNB,10,5000,0.1,0.8688108139195097
135,merged_edited_data.csv,GaussianNB,18,1000,0.5,0.3579836300269578
136,merged_edited_data.csv,ComplementNB,18,1000,0.5,0.554889601734545
137,merged_edited_data.csv,MultinomialNB,18,1000,0.5,0.4678891579221261
138,merged_edited_data.csv,GaussianNB,18,1000,0.25,0.36689496374532676
139,merged_edited_data.csv,ComplementNB,18,1000,0.25,0.536058617387244
140,merged_edited_data.csv,MultinomialNB,18,1000,0.25,0.5157731675889382
141,merged_edited_data.csv,GaussianNB,18,1000,0.1,0.3773368864835016
142,merged_edited_data.csv,ComplementNB,18,1000,0.1,0.6282337924182336
143,merged_edited_data.csv,MultinomialNB,18,1000,0.1,0.5548590724435787
144,merged_edited_data.csv,GaussianNB,18,2000,0.5,0.3259617889518485
145,merged_edited_data.csv,ComplementNB,18,2000,0.5,0.6103911470042017
146,merged_edited_data.csv,MultinomialNB,18,2000,0.5,0.45298458192465546
147,merged_edited_data.csv,GaussianNB,18,2000,0.25,0.34958121985544377
148,merged_edited_data.csv,ComplementNB,18,2000,0.25,0.5936611067643746
149,merged_edited_data.csv,MultinomialNB,18,2000,0.25,0.49172667672880177
150,merged_edited_data.csv,GaussianNB,18,2000,0.1,0.39065948691653296
151,merged_edited_data.csv,ComplementNB,18,2000,0.1,0.6706587649170176
152,merged_edited_data.csv,MultinomialNB,18,2000,0.1,0.563697979647523
153,merged_edited_data.csv,GaussianNB,18,5000,0.5,0.34804521876149247
154,merged_edited_data.csv,ComplementNB,18,5000,0.5,0.617064353494905
155,merged_edited_data.csv,MultinomialNB,18,5000,0.5,0.43255746776618703
156,merged_edited_data.csv,GaussianNB,18,5000,0.25,0.3577486719173529
157,merged_edited_data.csv,ComplementNB,18,5000,0.25,0.6058782063837889
158,merged_edited_data.csv,MultinomialNB,18,5000,0.25,0.45216324839202593
159,merged_edited_data.csv,GaussianNB,18,5000,0.1,0.39141569089531536
160,merged_edited_data.csv,ComplementNB,18,5000,0.1,0.6430197974351558
161,merged_edited_data.csv,MultinomialNB,18,5000,0.1,0.4849367979740414
