,num_categories,max_features,test_set,layer1_neurons,layer2_neurons,epochs,batch_size,parameters,train_loss,train_accuracy,train_auc,train_precision,train_recall,train_f1,test_loss,test_accuracy,test_auc,test_precision,test_recall,test_f1
254,19,1000,0.5,20,19,5,10,20419,0.03456646576523781,0.995555579662323,0.9999933242797852,1.0,0.9905555844306946,0.9952553871676955,1.255759835243225,0.7616666555404663,0.9517548680305481,0.8027828335762024,0.7372221946716309,0.7686070000526197
255,19,1000,0.5,20,19,10,1,20419,0.0041824704967439175,0.9983333349227905,0.9999997019767761,0.999443531036377,0.9977777600288391,0.998609950869212,2.524552345275879,0.7394444346427917,0.9206081032752991,0.7559999823570251,0.7350000143051147,0.7453521114567679
256,19,1000,0.5,20,19,10,5,20419,0.002363117877393961,0.9988889098167419,0.9999998807907104,1.0,0.9983333349227905,0.9991659724390907,2.8358161449432373,0.7411110997200012,0.917840838432312,0.7525655627250671,0.7333333492279053,0.7428249932579847
257,19,1000,0.5,20,19,10,10,20419,0.002134714275598526,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,3.080353021621704,0.7377777695655823,0.9133231043815613,0.7477272748947144,0.7311111092567444,0.7393258428079975
258,19,1000,0.5,20,19,20,1,20419,0.0018391261110082269,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,5.384705543518066,0.7200000286102295,0.8854987621307373,0.7248170971870422,0.7155555486679077,0.720156547201999
259,19,1000,0.5,20,19,20,5,20419,0.0018355385400354862,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,6.0646185874938965,0.7188888788223267,0.881464958190918,0.7224398255348206,0.7172222137451172,0.7198215648262538
260,19,1000,0.5,20,19,20,10,20419,0.0018406243762001395,0.9988889098167419,0.9999998211860657,1.0,0.9983333349227905,0.9991659724390907,6.455881118774414,0.7177777886390686,0.8801088929176331,0.7211645841598511,0.7155555486679077,0.7183491174202546
261,19,1000,0.5,40,19,5,1,40819,0.05114908516407013,0.9905555844306946,0.9999760985374451,0.9966216087341309,0.9833333492279053,0.9899328876028166,1.126501202583313,0.7705555558204651,0.9552820324897766,0.8058076500892639,0.7400000095367432,0.7715030586600977
262,19,1000,0.5,40,19,5,5,40819,0.022785881534218788,0.9977777600288391,0.9999975562095642,1.0,0.992222249507904,0.99609594236084,1.3033192157745361,0.7616666555404663,0.9507725238800049,0.7956989407539368,0.7400000095367432,0.766839390799658
263,19,1000,0.5,40,19,5,10,40819,0.015698518604040146,0.9983333349227905,0.9999990463256836,1.0,0.995555579662323,0.9977728406149283,1.4126800298690796,0.7572222352027893,0.9465014934539795,0.7902843356132507,0.7411110997200012,0.7649082393018537
